# core fork 特性存活审计清单(fork-feature-manifest.tsv)
#
# 用途:check-fork-features-alive.sh 逐行读取本清单,断言 fork 反关联/自定义能力的
#   符号/路由/文件在当前 core 代码里仍然存在。任一条目"消失"即视为该 fork 特性在
#   一次上游同步/重构中被误删或被回退,脚本非零退出、可接 CI 拦截。
#
# 定位:只做"存在性"审计,不逐字比对函数完整签名——上游同步允许内部实现变化,
#   但导出/关键符号名、fork 自定义路由路径、fork 专属文件不应该消失。这是
#   "go test 覆盖不到的整条接线被删"的兜底,不替代 go test。
#
# 格式:TAB 分隔,5 列,# 开头为注释,空行忽略:
#   1 类别                    人读分组标签
#   2 标识                    人读条目名(通常=符号名/路由路径/文件名)
#   3 断言方式                symbol | pattern | pattern_absent | route | file
#   4 grep_pattern_或_路径    symbol/pattern/pattern_absent/route 用 grep -E 扩展正则;
#                             file 方式不使用,固定填 -
#   5 所在文件相对core路径     symbol/pattern/pattern_absent/route:在这个文件内 grep;
#                             file:就是要断言存在的文件或目录路径本身
#
# 断言方式语义:
#   symbol          该文件必须命中此 grep pattern(fork 关键符号定义仍在)
#   pattern         该文件必须命中此 grep pattern(fork 专属调用点/接线仍在)
#   pattern_absent  该文件【必须不】命中此 grep pattern——命中说明 fork 保护被
#                   回退掉了(例如 G1 反关联 uTLS 客户端被换回裸 HTTP client)
#   route           该文件必须命中此路由字符串(fork 自定义路由仍注册)
#   file            第 5 列路径(文件或目录)必须存在
#
# 维护:新增一条 fork 反关联/自定义能力的关键接线时,补一行本清单;
#   上游重构导致路径迁移时同步更新路径,而不是删掉这条守护。

# === 反关联/指纹核心符号(21) ===
反关联-uTLS客户端	NewUtlsHTTPClient	symbol	^func NewUtlsHTTPClient\(	internal/runtime/executor/helps/utls_client.go
反关联-uTLS客户端	NewUtlsHTTPClientForProfile	symbol	^func NewUtlsHTTPClientForProfile\(	internal/runtime/executor/helps/utls_client.go
反关联-uTLS客户端	utlsProtectedHosts	symbol	^var utlsProtectedHosts 	internal/runtime/executor/helps/utls_client.go
反关联-Codex指纹	CodexRustlsClientHelloProfileID	symbol	^const CodexRustlsClientHelloProfileID 	internal/runtime/executor/helps/utls_client.go
反关联-设备指纹注入	InjectAccountDeviceID	symbol	^func InjectAccountDeviceID\(	internal/runtime/executor/helps/synthetic_device_id.go
反关联-Claude设备画像	resolveClaudeDeviceProfileForRequest	symbol	^func resolveClaudeDeviceProfileForRequest\(	internal/runtime/executor/claude_executor_request.go
反关联-Claude设备画像	applyClaudeManagedHeaders	symbol	^func applyClaudeManagedHeaders\(	internal/runtime/executor/claude_executor_request.go
反关联-真实路径计费对齐	alignRealPathBillingVersion	symbol	^func alignRealPathBillingVersion\(	internal/runtime/executor/claude_signing.go
反关联-真实路径计费对齐	computeFingerprint	symbol	^func computeFingerprint\(	internal/runtime/executor/claude_executor_cloaking.go
反关联-真实路径计费对齐	firstNonMetaUserMessageText	symbol	^func firstNonMetaUserMessageText\(	internal/runtime/executor/claude_executor_cloaking.go
反关联-真实路径计费对齐	fingerprintSalt	pattern	^const fingerprintSalt = "59cf53e54c78"	internal/runtime/executor/claude_executor_cloaking.go
反关联-代理留白拦截	blockingRoundTripper	symbol	^type blockingRoundTripper struct	internal/runtime/executor/helps/proxy_helpers.go
